y,avg_u_xz,u_b,y_plus_bw,u_plus_bw,T_plus_bw,y_plus_tw,u_plus_tw,T_plus_tw,avg_R_favre_uu_bw,avg_R_favre_vv_bw,avg_R_favre_ww_bw,avg_R_favre_uu_tw,avg_R_favre_vv_tw,avg_R_favre_ww_tw,TKE_y,TKE_bw,TKE_tw,avg_u_xz_filt2xDelta,u_b_filt2xDelta,y_plus_bw_filt2xDelta,u_plus_bw_filt2xDelta,T_plus_bw_filt2xDelta,y_plus_tw_filt2xDelta,u_plus_tw_filt2xDelta,T_plus_tw_filt2xDelta,avg_R_favre_uu_bw_filt2xDelta,avg_R_favre_vv_bw_filt2xDelta,avg_R_favre_ww_bw_filt2xDelta,avg_R_favre_uu_tw_filt2xDelta,avg_R_favre_vv_tw_filt2xDelta,avg_R_favre_ww_tw_filt2xDelta,TKE_y_filt2xDelta,TKE_bw_filt2xDelta,TKE_tw_filt2xDelta,avg_u_xz_filt4xDelta,u_b_filt4xDelta,y_plus_bw_filt4xDelta,u_plus_bw_filt4xDelta,T_plus_bw_filt4xDelta,y_plus_tw_filt4xDelta,u_plus_tw_filt4xDelta,T_plus_tw_filt4xDelta,avg_R_favre_uu_bw_filt4xDelta,avg_R_favre_vv_bw_filt4xDelta,avg_R_favre_ww_bw_filt4xDelta,avg_R_favre_uu_tw_filt4xDelta,avg_R_favre_vv_tw_filt4xDelta,avg_R_favre_ww_tw_filt4xDelta,TKE_y_filt4xDelta,TKE_bw_filt4xDelta,TKE_tw_filt4xDelta
-1.00007666837759e-07,0,2.26494205975655,0,0,0,0.174466118515282,0.17446611851539,-0.16932581147128,0,0,0,0,0,0,0,0,0,0,2.2650502561343,0,0,0,0.171771086233322,0.24721977725667,-0.197538971277494,0,0,0,0,0,0,0,0,0,0,2.26552545300583,0,0,0,0.171771086233322,0.275413715187671,-0.220153107915275,0,0,0,0,0,0,0,0,0
1.00007666837759e-07,0.0184808876769879,2.26494205975655,0.0969529569840095,0.0969529569840306,0.207656160618344,0.607068472683188,0.609105198984261,-0.588362392054632,3.48380843163052e-05,6.0528434327139e-11,3.4583093306603e-06,0.000184351734895373,1.38406832842621e-06,0.000131113719297524,1.91482270876999e-05,1.91482270876999e-05,0.000158424761260662,0.0239659746355208,2.2650502561343,0.0969527088828317,0.125727991160194,0.258784768875633,0.597690897569172,0.690023830688902,-0.552848845503188,5.75567762454308e-05,1.3519857235226e-10,5.43007262209052e-06,0.00028447425081769,3.19798712515943e-07,0.000181663319207195,3.14934920330469e-05,3.14934920330469e-05,0.000233228684368701,0.0267085181147872,2.26552545300583,0.0969527088828317,0.140115659012742,0.288669949860151,0.597690897569172,0.911653241731173,-0.730952292437167,7.10897090459751e-05,2.96562276081307e-10,6.58713047983761e-06,0.000343413506737007,2.0684635236973e-07,0.000210822843867498,3.88385680440444e-05,3.88385680440444e-05,0.000277221598478437
3.47984480198622e-07,0.0642650945035588,2.26494205975655,0.33735537890846,0.337552887800294,0.729606749877329,1.14976308624287,1.15645788529318,-1.10753654058238,0.000421912332475194,9.68651567207184e-09,3.92656924854004e-05,0.00219329212272473,2.26441944546445e-06,0.00130581246658678,0.000230593855738134,0.000230593855738134,0.00175068450437849,0.0670652772661547,2.2650502561343,0.337354515621076,0.35183140802832,0.729327868845398,1.13200233899617,1.27617454509052,-1.02440050492586,0.000449702740252945,1.35388124796026e-08,4.02302471965882e-05,0.00218699819370405,1.2883118947705e-06,0.00120368783258243,0.000244973263131006,0.000244973263131006,0.00169598716909063,0.0888870252836257,2.26552545300583,0.337354515621076,0.466310564724192,0.97287697736474,1.13200233899617,1.40909901216098,-1.12995395295848,0.000746693852197278,5.89402579145447e-08,5.74292291901866e-05,0.00307788532945312,4.10394368240003e-06,0.00126312748079147,0.000402091010822689,0.000402091010822689,0.00217255837696348
6.59068503671782e-07,0.121632182844011,2.26494205975655,0.638937416564694,0.639586044612016,1.39556162848967,1.80078848304324,1.81163923512891,-1.70886148854579,0.00151468269795104,1.58610949022964e-07,0.000132231702222045,0.0077665057812576,1.35516652446753e-05,0.00384299965298342,0.000823536505561054,0.000823536505561054,0.00581152854974285,0.124502030428895,2.2650502561343,0.638935781533565,0.653150580018026,1.36546934757325,1.77297114443253,1.96735271688981,-1.57904534743704,0.00155218407081834,1.69255291399074e-07,0.000130635557390305,0.0074350159503442,1.14210071883434e-05,0.00343838611545823,0.000841494441750021,0.000841494441750021,0.00544241153649538,0.138072764739003,2.26552545300583,0.638935781533565,0.724344062353444,1.52323017382818,1.77297114443253,2.09295483843619,-1.67463858886476,0.00175800505881457,2.71978838236696e-07,0.000129368060983218,0.00696212789243617,1.29623035312923e-05,0.00250411276444775,0.000943822549318015,0.000943822549318015,0.00473960148020761
1.03225002189544e-06,0.190331393466301,2.26494205975655,1.00072019610161,1.00168926454331,2.2090958074422,2.55838318693443,2.56102308841129,-2.36138766027031,0.00371955373724066,9.4775198977878e-07,0.000301812722736081,0.0186912659589476,6.17776178105233e-05,0.00747926397540959,0.00201115710598326,0.00201115710598326,0.0131161537760839,0.193140750803915,2.2650502561343,1.00071763527377,1.01323643671538,2.14006830791117,2.51886304779715,2.74856863648388,-2.19717999081352,0.00374455447886387,9.37903367253395e-07,0.000293722161553241,0.0175264513529957,5.19664048653666e-05,0.00663812120451855,0.00201960727189218,0.00201960727189218,0.0121082694811898,0.206769491620894,2.26552545300583,1.00071763527377,1.08473422764662,2.30394806069901,2.51886304779715,2.85742497957497,-2.27239908405957,0.00392346275275414,1.07200030974578e-06,0.000270778774075842,0.0148172749183152,3.94683797981677e-05,0.00455256278882979,0.00209765676356987,0.00209765676356987,0.00970465304347157
1.4665193195078e-06,0.270061530386691,2.26494205975655,1.42172484366765,1.42147261411671,3.16972230886635,3.42078572176461,3.37876222361921,-3.02241459712464,0.00750966237900349,3.67798555516945e-06,0.000561718986112638,0.0362457144058104,0.000190649563255634,0.0115991933035649,0.00403752967533565,0.00403752967533565,0.0240177786363154,0.272799746772209,2.2650502561343,1.42172120549501,1.43113580568148,3.05942619974953,3.36794378300832,3.59216818215838,-2.84285912559099,0.00748744296989896,3.5064033993099e-06,0.000542871126705577,0.0335137438578182,0.000157429745828018,0.0102964698436348,0.00401691025000193,0.00401691025000193,0.0219838217236405,0.286064887619996,2.26552545300583,1.42172120549501,1.50072611380782,3.22546892129602,3.36794378300832,3.6787734263434,-2.8920567901681,0.00748711201224215,3.35235450287717e-06,0.000481748049676613,0.0264342636133957,9.94031756721167e-05,0.00693374363891493,0.00398610620821083,0.00398610620821083,0.0167337052139914
1.96086668114707e-06,0.360422045091337,2.26494205975655,1.90097248541038,1.89523349040722,4.2716981731973,4.38623461138883,4.22855800142258,-3.64434125436288,0.0133916332901238,1.08173352949308e-05,0.000917629367635593,0.0598543986220393,0.000443705260307642,0.0155221831953666,0.00716003999652715,0.00716003999652715,0.0379101435388568,0.363069995453361,2.2650502561343,1.90096762084986,1.90470291099582,4.12848944677473,4.31847908398492,4.45970274211637,-3.46927050135309,0.0132682341903063,1.01328854606014e-05,0.00088383981164243,0.0547551536581655,0.000364128801324292,0.0138321841288777,0.00708110344370465,0.00708110344370465,0.0344757332941838,0.375870329344174,2.26552545300583,1.90096762084986,1.97185479381513,4.29581690071463,4.31847908398492,4.52126294314407,-3.49169334535136,0.0128643353226816,8.74012650694232e-06,0.000768341655369123,0.0411495608768931,0.0002108581689892,0.00934919561053835,0.00682070855227887,0.00682070855227887,0.0253548073282103
2.51428239145145e-06,0.460832420203047,2.26494205975655,2.43748424747826,2.41806181270683,5.50598319552916,5.45296837964802,5.07139732518394,-4.18796384292027,0.0218264562859652,2.65274876729442e-05,0.00136719584134289,0.0860463925907774,0.000868124991056054,0.0188339860077751,0.0116100898074905,0.0116100898074905,0.0528742517948044,0.463358951934471,2.2650502561343,2.43747800999219,2.43082920083309,5.35041791537081,5.36873468464513,5.3087894734679,-4.03175474046871,0.0215237987971458,2.45816002765014e-05,0.00131457161355715,0.0781340201094187,0.000710691730186758,0.0168625505761215,0.0114314760054897,0.0114314760054897,0.0478536312078634,0.475537666770304,2.26552545300583,2.43747800999219,2.4947200055588,5.51669087999855,5.36873468464513,5.34661323490525,-4.03193614089511,0.0203930611915348,1.99271363643795e-05,0.00112963462440764,0.0569374395354462,0.000395469909733165,0.0115515265591915,0.0107713114761534,0.0107713114761534,0.0344422180021854
3.12575673505914e-06,0.570418970535847,2.26494205975655,3.0302812560185,2.98383175656279,6.86060648484269,6.61922555040012,5.87510723961411,-4.63171308922382,0.0330878482647613,5.65674941329587e-05,0.00190059141113793,0.109605138141165,0.0015013312014213,0.0214414699114211,0.0175225035850161,0.0175225035850161,0.0662739696270038,0.572778935333088,2.2650502561343,3.03027350157444,3.0048578089481,6.7236651933108,6.51697631890789,6.10316444409429,-4.49996133828193,0.0325031728251391,5.21259763472493e-05,0.00182584042759481,0.0991225015062352,0.001230304892201,0.0192819459476564,0.0171905696145406,0.0171905696145406,0.0598173761730464,0.584119022367913,2.26552545300583,3.03027350157444,3.06434908486449,6.88471433776779,6.51697631890789,6.12198627483481,-4.48726200420516,0.0302262956779767,4.06241508569055e-05,0.00155824505279366,0.0711329110534984,0.000672204544095761,0.0134224743070213,0.0159125824408136,0.0159125824408136,0.0426137949523077
3.79427999660835e-06,0.687886781586246,2.26494205975655,3.67838463718212,3.58494480561505,8.31891745467253,7.88324464749531,6.61967287023323,-4.97503149678982,0.0470747135968818,0.000108490553192273,0.00250437995774239,0.126543078679691,0.00236948498985502,0.023491352173665,0.0248437920539082,0.0248437920539082,0.0762019579216053,0.690023351838813,2.2650502561343,3.67837522425098,3.61993420775973,8.23816918043064,7.76146972069173,6.81982077646524,-4.86350434692495,0.0460903356187181,9.9621601863966e-05,0.00240447615708055,0.114267953368515,0.00194747737518341,0.0211935167755397,0.0242972166888313,0.0242972166888313,0.0687044737596192,0.700262408278772,2.26552545300583,3.67837522425098,3.67364936229383,8.38818845244698,7.76146972069173,6.82572750805733,-4.84729036358717,0.0421958977495839,7.57263453502451e-05,0.00204260815150357,0.0816728466334894,0.0010591756006021,0.0149616460773495,0.0221571161232188,0.0221571161232188,0.0488468341557206
