y,avg_u_xz,u_b,y_plus_bw,u_plus_bw,T_plus_bw,y_plus_tw,u_plus_tw,T_plus_tw,avg_R_favre_uu_bw,avg_R_favre_vv_bw,avg_R_favre_ww_bw,avg_R_favre_uu_tw,avg_R_favre_vv_tw,avg_R_favre_ww_tw,TKE_y,TKE_bw,TKE_tw,avg_u_xz_filt2xDelta,u_b_filt2xDelta,y_plus_bw_filt2xDelta,u_plus_bw_filt2xDelta,T_plus_bw_filt2xDelta,y_plus_tw_filt2xDelta,u_plus_tw_filt2xDelta,T_plus_tw_filt2xDelta,avg_R_favre_uu_bw_filt2xDelta,avg_R_favre_vv_bw_filt2xDelta,avg_R_favre_ww_bw_filt2xDelta,avg_R_favre_uu_tw_filt2xDelta,avg_R_favre_vv_tw_filt2xDelta,avg_R_favre_ww_tw_filt2xDelta,TKE_y_filt2xDelta,TKE_bw_filt2xDelta,TKE_tw_filt2xDelta,avg_u_xz_filt4xDelta,u_b_filt4xDelta,y_plus_bw_filt4xDelta,u_plus_bw_filt4xDelta,T_plus_bw_filt4xDelta,y_plus_tw_filt4xDelta,u_plus_tw_filt4xDelta,T_plus_tw_filt4xDelta,avg_R_favre_uu_bw_filt4xDelta,avg_R_favre_vv_bw_filt4xDelta,avg_R_favre_ww_bw_filt4xDelta,avg_R_favre_uu_tw_filt4xDelta,avg_R_favre_vv_tw_filt4xDelta,avg_R_favre_ww_tw_filt4xDelta,TKE_y_filt4xDelta,TKE_bw_filt4xDelta,TKE_tw_filt4xDelta
-1.00007666837759e-07,0,14.7651473639652,0,0,0,0.0961801298932997,0.096180129893365,-0.0682866479174711,0,0,0,0,0,0,0,0,0,0,14.7658253305746,0,0,0,0.0961801298932997,0.123234352362401,-0.0807288673616782,0,0,0,0,0,0,0,0,0,0,14.768987420619,0,0,0,0.0961801298932997,0.137321980240193,-0.101357559396935,0,0,0,0,0,0,0,0,0
1.00007666837759e-07,0.0873955631914422,14.7651473639652,0.0960675608852709,0.0960675608852922,0.0682067267947011,0.334666266743896,0.334131633756303,-0.488900648899048,0.000618570450962747,4.42532244249026e-10,9.31207803416475e-05,0.00101887407598566,1.18469614418266e-09,0.000182977620982503,0.000355845836918321,0.000355845836918321,0.000600926440832152,0.113264111457353,14.7658253305746,0.0960675608852709,0.112334654503364,0.143905945445073,0.334666266743896,0.344563306662641,-0.442561704139974,0.00102682932754502,1.60850519654496e-09,0.000150739435466489,0.00169472622463287,3.81863665432728e-09,0.00029250428111875,0.000588785185758355,0.000588785185758355,0.000993617162194141,0.12619838559031,14.768987420619,0.0960675608852709,0.125162788651792,0.168785202742445,0.334666266743896,0.456335678346872,-0.837528271840951,0.00127014464830209,3.55187442010677e-09,0.000184762956723741,0.00209784015155345,8.4338978434025e-09,0.000356948793316367,0.000727455578450127,0.000727455578450127,0.00122739868938383
3.47984480198622e-07,0.30356095878824,14.7651473639652,0.334274574096782,0.333739308542556,0.46662501973542,0.633844347099556,0.631788262156083,-1.40621970170274,0.00747853465915227,1.21385468382785e-07,0.00105470834913916,0.0122975988402677,2.92296995790466e-07,0.00205002934705817,0.00426668219687986,0.00426668219687986,0.00717396024216086,0.316715232251177,14.7658253305746,0.334274574096782,0.314116234463949,0.561962234354237,0.633844347099556,0.639047558160401,-1.28866667823585,0.00806270637153465,1.82172966616552e-07,0.00111627587203578,0.0132314509103461,4.33836653023627e-07,0.00214844476843027,0.00458958220826855,0.00458958220826855,0.00769016475771474,0.419753184519013,14.768987420619,0.334274574096782,0.416308646692424,0.929552939180621,0.633844347099556,0.708274657253046,-1.77326249128938,0.0141605094341401,8.68541626483382e-07,0.00175352578548003,0.0226435231567756,2.02666178830498e-06,0.00326725838077626,0.00795745188062329,0.00795745188062329,0.0129564040996701
6.59068503671782e-07,0.573889356377233,14.7651473639652,0.633102497098841,0.631043990602747,1.32199465140609,0.992743299864736,0.987557167584361,-3.07228496192264,0.0268017295661106,2.03545335057791e-06,0.0035408595522651,0.0439991438991669,4.89608377220245e-06,0.00681051009120629,0.0151723122858631,0.0151723122858631,0.0254072750370728,0.587328756314394,14.7658253305746,0.633102497098841,0.582509076101397,1.38719798050548,0.992743299864736,0.990272908473963,-2.852431134135,0.0278049074759992,2.34200966429657e-06,0.00361243312425629,0.0455387709883619,5.55901183822984e-06,0.00688396450953976,0.0157098413049598,0.0157098413049598,0.0262141472548701,0.651118294587551,14.768987420619,0.633102497098841,0.645775150859257,1.79284789661245,0.992743299864736,1.05961024917708,-3.53217941547417,0.0331834985642117,4.35935633032675e-06,0.00396650150216138,0.0534106933407837,9.95710714479804e-06,0.00729267301876587,0.0185771797113517,0.0185771797113517,0.0303566617333469
1.03225002189544e-06,0.896909712675627,14.7651473639652,0.99158139533572,0.986389328819601,2.86424088622278,1.41039205394221,1.39961652690217,-5.77685363267668,0.065705040680796,1.23971571242733e-05,0.00805146458180531,0.107624573686028,2.95823098025614e-05,0.0153081306330893,0.0368844512098629,0.0368844512098629,0.0614811433144604,0.910026884505902,14.7658253305746,0.99158139533572,0.902559110245921,2.78071824430984,1.41039205394221,1.39702647217194,-5.41670636864102,0.067000538699872,1.32015115907629e-05,0.00808401415693667,0.109466980886897,3.10838361141227e-05,0.015235821743417,0.0375488771841993,0.0375488771841993,0.0623669432332138,0.973955125929921,14.768987420619,0.99158139533572,0.965962749942315,3.33157731396403,1.41039205394221,1.46437757116266,-6.30550298993134,0.0740990614274681,1.80003436923296e-05,0.00828377396134411,0.119100611869229,4.04471621232766e-05,0.0150625321057177,0.0412004178662524,0.0412004178662524,0.0671017955685353
1.4665193195078e-06,1.27099162499261,14.7651473639652,1.4087413342495,1.39795435174027,5.35769800665709,1.88581953823796,1.86578158580083,-9.83951218438047,0.132539511907429,4.84795659432113e-05,0.0149173932876837,0.21636006720881,0.000114504204533846,0.0280136206859249,0.0737526923805284,0.0737526923805284,0.122244096049634,1.28376027657048,14.7658253305746,1.4087413342495,1.27322560763641,4.95121243762979,1.88581953823796,1.85704529019089,-9.29124553057256,0.13392808580323,4.96979829123185e-05,0.0148583842959681,0.218025619332055,0.00011584110035855,0.0276729152542474,0.074418084041055,0.074418084041055,0.12290718784333,1.34597479316999,14.768987420619,1.4087413342495,1.33492958551058,5.65739007178326,1.88581953823796,1.92205412360453,-10.401155444625,0.14165306907571,5.75300301079749e-05,0.0146509151192782,0.226899306548293,0.000127477804211911,0.0263538401304128,0.0781807571125483,0.0781807571125483,0.126690312241459
1.96086668114707e-06,1.6942807956614,14.7651473639652,1.88361237928524,1.86355613097902,9.09390153286523,2.41805468165394,2.38329895901442,-15.5981712097166,0.23667985695274,0.000143361749415499,0.0242479746391015,0.384232913063594,0.0003345604448125,0.0449617198756649,0.130535596670628,0.130535596670628,0.214764596692034,1.70666358617911,14.7658253305746,1.88361237928524,1.69265852916782,8.12853129706562,2.41805468165394,2.36743086129903,-14.8012263787965,0.237825715857938,0.000144149231825045,0.0240453960283178,0.384934749573021,0.000332082287011186,0.0442409944252893,0.13100763055904,0.13100763055904,0.214753913142662,1.76696813536234,14.768987420619,1.88361237928524,1.75246821301485,9.00157790609326,2.41805468165394,2.42960154863633,-16.1338623549996,0.244613292013383,0.00015167912641129,0.0231930937365357,0.389363862532693,0.000331619267687153,0.0412820462537052,0.133979032438165,0.133979032438165,0.215488764027044
2.51428239145145e-06,2.16459124880879,14.7651473639652,2.41522459588309,2.38044535523722,14.3810780897752,3.00612641309329,2.948576187113,-23.3916780592906,0.388039171980222,0.000352283704844817,0.0359294977350982,0.624401951635544,0.000811385794636575,0.0658120733348057,0.212160476710082,0.212160476710082,0.345512705382495,2.17653466546825,14.7658253305746,2.41522459588309,2.15867379802855,12.5585238989831,3.00612641309329,2.92437190042718,-22.2682312820562,0.388423483384492,0.000349907200060234,0.0355358335752893,0.622958277565567,0.000795787138045417,0.0646189004032363,0.212154612079921,0.212154612079921,0.344186482553426,2.23465512580586,14.768987420619,2.41522459588309,2.21631731588777,13.6047595478698,3.00612641309329,2.98306985544902,-23.8114342148045,0.391841721547974,0.000347100172424172,0.0338236163039319,0.617447484124967,0.000748748874900021,0.0596173507154262,0.213006219012164,0.213006219012164,0.338906791857647
3.12575673505914e-06,2.67924976745127,14.7651473639652,3.00260804949116,2.94503787718753,21.5282780678618,3.64906366146319,3.5568853802437,-33.5353241686572,0.596100620232266,0.000752519747205957,0.0496405592907055,0.946324547524482,0.00170878329734412,0.0899434389371707,0.323246849635087,0.323246849635087,0.518988384879498,2.69067990756851,14.7658253305746,3.00260804949116,2.66859991136434,18.4939735597292,3.64906366146319,3.5228709340636,-31.9842110509439,0.594972345028224,0.000742025416887987,0.0490191065765034,0.941119661583456,0.00166421455053587,0.0882142663692926,0.322366738510809,0.322366738510809,0.515499071251646,2.74624747886628,14.768987420619,3.00260804949116,2.72371148945386,19.7127119021815,3.64906366146319,3.57736346039283,-33.7097783372232,0.591509942942307,0.000708180096386302,0.0462720132593765,0.918262116709033,0.00150651915807272,0.080880735664775,0.319245068149034,0.319245068149034,0.500324685765942
3.79427999660835e-06,3.2349032893869,14.7651473639652,3.64479280554801,3.55262100091358,30.8230488166416,4.34589535566418,4.20211367516795,-46.2894878214816,0.868294217660837,0.00144575291158152,0.0649297612825722,1.35211659642242,0.00323386985031976,0.116649775166758,0.467334865927496,0.467334865927496,0.736000120719748,3.24572479683261,14.7658253305746,3.64479280554801,3.21909004515062,26.1819131225066,4.34589535566418,4.1565610049222,-44.180289477065,0.864644571530126,0.0014184497279201,0.0640530031753667,1.34118908572812,0.00313433816148334,0.114339069335504,0.465058012216707,0.465058012216707,0.729331246612546,3.29827543122136,14.768987420619,3.64479280554801,3.27120944362587,27.5635301373281,4.34589535566418,4.20609698571243,-46.0440782990595,0.849623586220384,0.00131943919934187,0.0601468988663432,1.29215228198686,0.00276635663539331,0.104488670809212,0.455544962143036,0.455544962143036,0.699703654715732
4.51884246073728e-06,3.82732285184618,14.7651473639652,4.34080892949842,4.19710685437443,42.5028878901091,5.09565042460336,4.87665468345386,-61.8254259397875,1.20778647851348,0.00254830648524892,0.0812880437714687,1.83337124091087,0.00560968451735083,0.145253797723953,0.645811414385096,0.645811414385096,0.99211736157608,3.83742355736903,14.7658253305746,4.34080892949842,3.80593326476964,35.8467594706262,5.09565042460336,4.81770092055179,-58.9962611435723,1.20038580224512,0.00249228251354041,0.0801402134134094,1.81467583910945,0.00542069187624971,0.142332106471566,0.64150914908603,0.64150914908603,0.981214318728628,3.8864233043141,14.768987420619,4.34080892949842,3.85453091474901,37.3712249737052,5.09565042460336,4.86161110692673,-60.9413895049605,1.16817048722196,0.00227764911743719,0.0749977419754691,1.73042026400463,0.00470305691293779,0.129842728725025,0.622722939157438,0.622722939157438,0.932483024821297
