y,avg_u_xz,u_b,y_plus_bw,u_plus_bw,T_plus_bw,y_plus_tw,u_plus_tw,T_plus_tw,avg_R_favre_uu_bw,avg_R_favre_vv_bw,avg_R_favre_ww_bw,avg_R_favre_uu_tw,avg_R_favre_vv_tw,avg_R_favre_ww_tw,TKE_y,TKE_bw,TKE_tw,avg_u_xz_filt2xDelta,u_b_filt2xDelta,y_plus_bw_filt2xDelta,u_plus_bw_filt2xDelta,T_plus_bw_filt2xDelta,y_plus_tw_filt2xDelta,u_plus_tw_filt2xDelta,T_plus_tw_filt2xDelta,avg_R_favre_uu_bw_filt2xDelta,avg_R_favre_vv_bw_filt2xDelta,avg_R_favre_ww_bw_filt2xDelta,avg_R_favre_uu_tw_filt2xDelta,avg_R_favre_vv_tw_filt2xDelta,avg_R_favre_ww_tw_filt2xDelta,TKE_y_filt2xDelta,TKE_bw_filt2xDelta,TKE_tw_filt2xDelta,avg_u_xz_filt4xDelta,u_b_filt4xDelta,y_plus_bw_filt4xDelta,u_plus_bw_filt4xDelta,T_plus_bw_filt4xDelta,y_plus_tw_filt4xDelta,u_plus_tw_filt4xDelta,T_plus_tw_filt4xDelta,avg_R_favre_uu_bw_filt4xDelta,avg_R_favre_vv_bw_filt4xDelta,avg_R_favre_ww_bw_filt4xDelta,avg_R_favre_uu_tw_filt4xDelta,avg_R_favre_vv_tw_filt4xDelta,avg_R_favre_ww_tw_filt4xDelta,TKE_y_filt4xDelta,TKE_bw_filt4xDelta,TKE_tw_filt4xDelta,avg_u_xz_filt6xDelta,u_b_filt6xDelta,y_plus_bw_filt6xDelta,u_plus_bw_filt6xDelta,T_plus_bw_filt6xDelta,y_plus_tw_filt6xDelta,u_plus_tw_filt6xDelta,T_plus_tw_filt6xDelta,avg_R_favre_uu_bw_filt6xDelta,avg_R_favre_vv_bw_filt6xDelta,avg_R_favre_ww_bw_filt6xDelta,avg_R_favre_uu_tw_filt6xDelta,avg_R_favre_vv_tw_filt6xDelta,avg_R_favre_ww_tw_filt6xDelta,TKE_y_filt6xDelta,TKE_bw_filt6xDelta,TKE_tw_filt6xDelta,avg_u_xz_filt8xDelta,u_b_filt8xDelta,y_plus_bw_filt8xDelta,u_plus_bw_filt8xDelta,T_plus_bw_filt8xDelta,y_plus_tw_filt8xDelta,u_plus_tw_filt8xDelta,T_plus_tw_filt8xDelta,avg_R_favre_uu_bw_filt8xDelta,avg_R_favre_vv_bw_filt8xDelta,avg_R_favre_ww_bw_filt8xDelta,avg_R_favre_uu_tw_filt8xDelta,avg_R_favre_vv_tw_filt8xDelta,avg_R_favre_ww_tw_filt8xDelta,TKE_y_filt8xDelta,TKE_bw_filt8xDelta,TKE_tw_filt8xDelta,avg_u_xz_filt10xDelta,u_b_filt10xDelta,y_plus_bw_filt10xDelta,u_plus_bw_filt10xDelta,T_plus_bw_filt10xDelta,y_plus_tw_filt10xDelta,u_plus_tw_filt10xDelta,T_plus_tw_filt10xDelta,avg_R_favre_uu_bw_filt10xDelta,avg_R_favre_vv_bw_filt10xDelta,avg_R_favre_ww_bw_filt10xDelta,avg_R_favre_uu_tw_filt10xDelta,avg_R_favre_vv_tw_filt10xDelta,avg_R_favre_ww_tw_filt10xDelta,TKE_y_filt10xDelta,TKE_bw_filt10xDelta,TKE_tw_filt10xDelta
4.73057573896627e-05,2.45353867022145,2.22688678874288,45.860814538699,13.0474461144696,31.8819742665623,85.9471382458987,13.9392512280019,-6.90856109033106,0.0327900544995859,0.0114561383089396,0.0143943155685372,0.0440834714028299,0.0207440314671546,0.0241877078222307,0.0293202541885314,0.0293202541885314,0.0445076053461076,2.45354451941407,2.22698109323216,45.860814538699,12.4785780783144,34.0869626769503,85.9471382458987,11.9997072918568,-6.69243301025691,0.0311210512782879,0.0105570925743552,0.0134483085026676,0.0411244657445606,0.018888445099271,0.0223228928298374,0.0275632261776553,0.0275632261776553,0.0411679018368349,2.4536943284127,2.22736874948468,45.860814538699,12.4793399977625,34.0841598452062,85.9471382458987,12.0027958474372,-6.6932385387226,0.0256618690599519,0.0077233975684981,0.0103037449291213,0.0323834685140407,0.0133113923000625,0.0166502442577532,0.0218445057787856,0.0218445057787856,0.031172552535928,2.45385759143449,2.22785554205778,45.860814538699,12.4801703435534,34.0832305695856,85.9471382458987,12.0062024028947,-6.69493990718701,0.0206762799199554,0.00546681650359064,0.00756131034098127,0.0256412938817328,0.00928076927350006,0.0122204853657189,0.0168522033822636,0.0168522033822636,0.0235712742604758,2.45397701368955,2.22824537581795,45.860814538699,12.4807777178734,34.0913998494331,85.9471382458987,12.0096893406279,-6.69628360170529,0.0171643117957505,0.00428925430763739,0.00588589076679118,0.0215167086205921,0.00746449230537374,0.00973395218478058,0.0136697284350894,0.0136697284350894,0.0193575765553731,2.45406118680301,2.22845753640879,45.860814538699,12.4812058172049,34.1021895922446,85.9471382458987,12.0134993048951,-6.69736520064669,0.0148856034706293,0.00378634229898923,0.00496031824332183,0.0191197874381631,0.00689836150578103,0.0085353893718494,0.0118161320064702,0.0118161320064702,0.0172767691578967
4.92667163143118e-05,2.46881494474185,2.22688678874288,47.7618764500458,13.1439130463518,32.1238035029043,89.4094795784916,14.0203628176325,-6.9377345516115,0.0301210722047687,0.0109927151234752,0.0133988458267929,0.041818980798066,0.0198829380701741,0.0229623265305974,0.0272563165775184,0.0272563165775184,0.0423321226994186,2.46885600429292,2.22698109323216,47.7618764500458,12.5564513583971,34.3091916867231,89.4094795784916,12.0965709807063,-6.71377275778115,0.028610603738075,0.0101388750202999,0.0125364208749664,0.039094300207629,0.0181584206982793,0.0211918994008292,0.0256429498166706,0.0256429498166706,0.0392223101533689,2.46914898789807,2.22736874948468,47.7618764500458,12.557941455179,34.3101719975168,89.4094795784916,12.0996526074094,-6.71507120887917,0.0236423372133631,0.00743994270729222,0.00965768821638472,0.0309724235664897,0.0129061033152137,0.0157862530830155,0.0203699840685201,0.0203699840685201,0.0298323899823593,2.46939345913255,2.22785554205778,47.7618764500458,12.5591848209965,34.3166576296734,89.4094795784916,12.1031103878456,-6.71748983747311,0.0190923612619838,0.0052896300790389,0.00715387408433412,0.0245893495105505,0.00904410785224785,0.0115837707434336,0.0157679327126783,0.0157679327126783,0.0226086140531161,2.46937514192108,2.22824537581795,47.7618764500458,12.5590916607741,34.3287567809532,89.4094795784916,12.1064671316406,-6.71937784565793,0.0158893300817279,0.0041733002344227,0.00562254019396967,0.0206290195890103,0.00726495116065492,0.0092743324031692,0.0128425852550602,0.0128425852550602,0.0185841515764172,2.46914233975402,2.22845753640879,47.7618764500458,12.557907643123,34.3370747483157,89.4094795784916,12.1090699802352,-6.72029442370271,0.0138325245731628,0.00370136116336123,0.00475881756664272,0.0183399035777216,0.00671513917607416,0.00823954541139411,0.0111463516515834,0.0111463516515834,0.016647294082595
5.1251403549963e-05,2.48421496159677,2.22688678874288,49.6859418969465,13.2375949886782,32.3607597843797,92.9114541245288,14.097806953256,-6.96676531671627,0.027409997094891,0.0105237032007624,0.0123682873950641,0.0394715300985084,0.0190224707593023,0.0218361024228577,0.0251509938453588,0.0251509938453588,0.0401650516403342,2.48425207980698,2.22698109323216,49.6859418969465,12.6347548613014,34.5179638908365,92.9114541245288,12.1975357220974,-6.73549271222435,0.0260618773553103,0.00971809634921581,0.0115913454808082,0.0369908735522085,0.0174247489501658,0.0201642140060939,0.023685659592667,0.023685659592667,0.0372899182542341,2.48451482722128,2.22736874948468,49.6859418969465,12.636091178657,34.5267888387547,92.9114541245288,12.1993780989238,-6.73716508516438,0.0216167540932566,0.00716222867335939,0.00899067801688966,0.0294806695262719,0.0124968785523009,0.0150157224383837,0.0188848303917529,0.0188848303917529,0.0284966352584783,2.48468433024218,2.22785554205778,49.6859418969465,12.6369532607036,34.5363003284594,92.9114541245288,12.2025237098655,-6.73991869473271,0.0175471192531669,0.00511624298207806,0.00672313093158417,0.0234268377835454,0.00880372124253546,0.0110116196315956,0.0146932465834145,0.0146932465834145,0.0216210893288384,2.48448981540256,2.22824537581795,49.6859418969465,12.6359639700695,34.5479743131838,92.9114541245288,12.2054151515253,-6.74201910510405,0.0146679361185102,0.00405151906255382,0.00533121144854745,0.0196416129321442,0.00705559812223973,0.00885325134285782,0.0120253333148057,0.0120253333148057,0.0177752311986208,2.48399538100746,2.22845753640879,49.6859418969465,12.6334493068324,34.555020323742,92.9114541245288,12.2067149321114,-6.74268775801449,0.012820791408517,0.00360454607613315,0.00453723716681798,0.017517985737566,0.00651498587703635,0.0079579793223617,0.0104812873257342,0.0104812873257342,0.015995475468482
5.32588093812547e-05,2.49970875606376,2.22688678874288,51.6320320054656,13.3285839179548,32.5955493159599,96.4513004077444,14.1720948003035,-6.99582108771356,0.0248214619620295,0.0100584750975049,0.0113843901852683,0.0373726085050771,0.018161856822549,0.0207293346819114,0.0231321636224014,0.0231321636224014,0.0381319000047688,2.49969290384797,2.22698109323216,51.6320320054656,12.7132859524898,34.7397038396479,96.4513004077444,12.2972826577719,-6.75920263936339,0.0236543662719171,0.00930357916887598,0.0106888322263377,0.0351231918514329,0.0166870719065558,0.0191657902419525,0.0218233888335654,0.0218233888335654,0.0354880269999706,2.49972212830954,2.22736874948468,51.6320320054656,12.7134345863225,34.7525477298626,96.4513004077444,12.2980835439363,-6.76122964877669,0.019746432708518,0.00689385794504221,0.0083511861880479,0.0281789605716341,0.0120851198578071,0.014282862579371,0.0174957384208041,0.0174957384208041,0.0272734715044061,2.49963031423864,2.22785554205778,51.6320320054656,12.7129676255467,34.7607276608933,96.4513004077444,12.299937918748,-6.76371861449703,0.0161215065564871,0.00494837018189751,0.00629679143983726,0.0223960869798572,0.00856152665732181,0.0104463175816981,0.013683334089111,0.013683334089111,0.0207019656094385,2.49921053538731,2.22824537581795,51.6320320054656,12.7108326558608,34.7698778950612,96.4513004077444,12.3016010266925,-6.76513233957557,0.0135452020856167,0.00392579515204338,0.00502975681826828,0.0187728790431336,0.00685236118270278,0.00842055975241099,0.0112503770279641,0.0112503770279641,0.0170228999891237,2.49851720225616,2.22845753640879,51.6320320054656,12.7073064057589,34.7771955610269,96.4513004077444,12.3016015059078,-6.76563257901321,0.0118893119206444,0.00349715743438994,0.00431101758188995,0.0168237604362818,0.00631841887259238,0.00763473886570937,0.00984874346846223,0.00984874346846223,0.0153884590872919
5.5287924092825e-05,2.5146844730054,2.22688678874288,53.599167901798,13.4171136315815,32.8295199597371,100.02725695206,14.2425231613911,-7.02499811179475,0.0226458589411611,0.00958807337964216,0.0105300128945543,0.0359838888128946,0.0173251913824295,0.0196304934077488,0.0213819726076788,0.0213819726076788,0.0364697868015365,2.51459297657979,2.22698109323216,53.599167901798,12.7890668154355,34.9945215346707,100.02725695206,12.3935616135599,-6.78546274392285,0.0216260465862193,0.00888826573262154,0.0098993368584373,0.0338839646662678,0.0159647102974326,0.0181680133768109,0.0202068245886392,0.0202068245886392,0.0340083441702556,2.51430296400781,2.22736874948468,53.599167901798,12.7875918291473,35.0014398561453,100.02725695206,12.3938395488765,-6.7872915061186,0.0181537652304286,0.00663115456584888,0.00777822521132961,0.0272919474339047,0.0116809242980752,0.0135497558144682,0.0162815725038036,0.0162815725038036,0.0262613137732242,2.51383720821951,2.22785554205778,53.599167901798,12.7852230235587,35.0061737244956,100.02725695206,12.3939584133783,-6.78891909164717,0.0148942708756757,0.00478348097259854,0.00590266867083416,0.0217236210273363,0.00832873669634613,0.00987322396934378,0.0127902102595542,0.0127902102595542,0.019962790846513,2.51310991281784,2.22824537581795,53.599167901798,12.7815240434163,35.0131243424117,100.02725695206,12.393596436355,-6.78948642602848,0.0125858839909416,0.00379513596073945,0.00474583358700905,0.0182474328256798,0.00666582639184849,0.00796419988566588,0.010563426769345,0.010563426769345,0.016438729551597,2.51225574850244,2.22845753640879,53.599167901798,12.7771798157011,35.0213482684769,100.02725695206,12.3919403553002,-6.7897364061363,0.0111003223304125,0.00337684562613575,0.00409638683630994,0.0164240255780412,0.00614638974640597,0.00725916562864722,0.0092867773964291,0.0092867773964291,0.0149147904765471
5.73377379693122e-05,2.52827208163941,2.22688678874288,55.5863707121379,13.5030961994877,33.063007097265,103.637562281236,14.3089073020654,-7.05410555276573,0.0208871019292496,0.00911352139197726,0.00978513468169239,0.0350664697053577,0.0165383437607685,0.0184580598444251,0.0198928790014597,0.0198928790014597,0.035031436655276,2.52814062244426,2.22698109323216,55.5863707121379,12.8579693176558,35.2641966623567,103.637562281236,12.4873399893841,-6.81467616540171,0.0199650501167293,0.00847282063690302,0.00921105506285588,0.0330590972805279,0.0152786795319748,0.017094571241184,0.018824462908244,0.018824462908244,0.0327161740268436,2.52759992950015,2.22736874948468,55.5863707121379,12.8552193862543,35.2613775975237,103.637562281236,12.4869198102894,-6.8154914456998,0.0168027372197227,0.00637467888919218,0.00727309236885676,0.0266872348904045,0.0112889799508425,0.0127531778268945,0.0152252542388857,0.0152252542388857,0.025364696334071,2.52676583041177,2.22785554205778,55.5863707121379,12.8509772090624,35.2592730414237,103.637562281236,12.4856801824607,-6.81598384845252,0.013846644952202,0.00462370501724767,0.00554864364094594,0.0212976817287527,0.00810658410118172,0.00928003734990886,0.0120094968051978,0.0120094968051978,0.0193421515899216,2.52571891363042,2.22824537581795,55.5863707121379,12.8456526540384,35.2649499135174,103.637562281236,12.4832023292443,-6.8160278832805,0.0117611024164731,0.00366193776240826,0.00448498331659131,0.0179612773726397,0.00649672128375461,0.00748217395559246,0.00995401174773626,0.00995401174773626,0.0159700863059932,2.52470287549225,2.22845753640879,55.5863707121379,12.8404851459139,35.2739270946968,103.637562281236,12.4797214519686,-6.81586311556477,0.0104140525270193,0.0032467933185743,0.00389283520885084,0.0162019792962433,0.00599677021074803,0.00683821096662833,0.00877684052722225,0.00877684052722225,0.0145184802368098
5.94072412953544e-05,2.54003947970929,2.22688678874288,57.5926615625225,13.5859708232274,33.2954958285181,107.280454919263,14.3714674344973,-7.08358422735592,0.0192445187876157,0.00865995707465756,0.00911876841912853,0.0338995741823181,0.0158036297048008,0.0171859768493497,0.018511622140701,0.018511622140701,0.0334445903682342,2.53990192854847,2.22698109323216,57.5926615625225,12.9177866045903,35.5223852475601,107.280454919263,12.5780784612525,-6.844830402385,0.018413859573029,0.00807673344442494,0.00859904545934893,0.0320383315983432,0.0146340886722237,0.0159240600750231,0.0175448192384016,0.0175448192384016,0.0312982401727949,2.53924363944359,2.22736874948468,57.5926615625225,12.914438586273,35.5146658344434,107.280454919263,12.5766956497947,-6.84441616116606,0.0155468562118777,0.0061336299574784,0.00683316349809026,0.0260370505348464,0.010910217597532,0.0119064867235174,0.0142568248337233,0.0142568248337233,0.024426877427948,2.53818648508142,2.22785554205778,57.5926615625225,12.9090619635361,35.5050984210758,107.280454919263,12.5744331954408,-6.84420552856918,0.0128628631848397,0.00447503809338827,0.00524029925870266,0.0208884953417116,0.00789164538544193,0.00868456430774739,0.0112891002684654,0.0112891002684654,0.0187323525174505,2.53690839234744,2.22824537581795,57.5926615625225,12.9025616616887,35.5057598439933,107.280454919263,12.5708024412771,-6.84367251080277,0.0109502695507826,0.00353490593568276,0.00424710608873786,0.0176777696242976,0.0063388776148118,0.00700097977231042,0.00936614078760162,0.00936614078760162,0.0155088135057099,2.53572931185544,2.22845753640879,57.5926615625225,12.8965649300771,35.5167149726584,107.280454919263,12.5657907574586,-6.84279545276688,0.00970680234113894,0.0031192927814575,0.00370222596901129,0.0159259059971903,0.00585664567510388,0.00640109570368111,0.00826416054580384,0.00826416054580384,0.0140918236879877
6.14954243555898e-05,2.54996105987706,2.22688678874288,59.6170615792254,13.665730857633,33.5264963100056,110.954173389889,14.430573116482,-7.11360701298676,0.0176141777947267,0.00824446780228582,0.00852525011838153,0.0324745841653011,0.015111054677814,0.015862118080694,0.0171919478576969,0.0171919478576969,0.0317238784619045,2.54982881608198,2.22698109323216,59.6170615792254,12.9682741503355,35.7641327644157,110.954173389889,12.6639983155776,-6.87146288568107,0.0168866729740385,0.00771328222219318,0.00805792248649112,0.0307902357072551,0.0140231158674779,0.0147199971433951,0.0163289388413613,0.0163289388413613,0.0297666743590642,2.54917110023701,2.22736874948468,59.6170615792254,12.9649290475833,35.7572617432261,110.954173389889,12.6619738373059,-6.87060423952238,0.014348904718886,0.00591255066946795,0.00645310660374663,0.0253004934644271,0.0105406077314189,0.0110747044739673,0.0133572809960502,0.0133572809960502,0.0234579028349066,2.54810389047994,2.22785554205778,59.6170615792254,12.9595012837198,35.7437552348625,110.954173389889,12.6590839173073,-6.87016469033529,0.0119117105456998,0.00433912956108638,0.00497927795949002,0.0204817826305853,0.00767537455195911,0.00812358247328353,0.0106150590331381,0.0106150590331381,0.0181403698279137,2.54675247235229,2.22824537581795,59.6170615792254,12.9526280533836,35.7385970401274,110.954173389889,12.6549210143589,-6.86906227053944,0.0101320033684076,0.00342024655512142,0.00403909916000455,0.0173618029006323,0.00617913767589897,0.00655429771221479,0.00879567454176679,0.00879567454176679,0.015047619144373,2.54545667142342,2.22845753640879,59.6170615792254,12.9460376887347,35.7498848445288,110.954173389889,12.6490114661644,-6.8671971986086,0.00897114998657699,0.00300556900326307,0.00352824578982943,0.0155692354192322,0.00571125095341529,0.00598355985586914,0.00775248238983473,0.00775248238983473,0.0136320231142583
6.36012774346567e-05,2.55814287906258,2.22688678874288,61.65859188827,13.7418116637425,33.7547652478023,114.656956217034,14.4855982111112,-7.1438785530591,0.0161680900765807,0.0078680889782017,0.00801120527537507,0.0311232200532498,0.0144457203923083,0.0146776945553179,0.0160236921650788,0.0160236921650788,0.0301233175004382,2.55803394695132,2.22698109323216,61.65859188827,13.0100049464902,35.9940206540521,114.656956217034,12.7438776134571,-6.89410080737297,0.0155364227496307,0.00738262017544077,0.00759051379523525,0.0295986154077076,0.0134336829244457,0.0136537854334861,0.0152547783601534,0.0152547783601534,0.0283430418828194,2.55747602985125,2.22736874948468,61.65859188827,13.0071674140796,35.9890000704116,114.656956217034,12.7419179511504,-6.89375651896532,0.0132949701189067,0.0057113318449374,0.00612815330820933,0.0245869525451673,0.0101701785764457,0.0103597679651165,0.0125672276360268,0.0125672276360268,0.0225584495433649,2.55654112218064,2.22785554205778,61.65859188827,13.0024125305748,35.9774532008693,114.656956217034,12.7388457646235,-6.89320983915665,0.0110659811162856,0.00421635446335087,0.0047608585819355,0.020099216455558,0.00744718144415047,0.00765078808028536,0.010021597080786,0.010021597080786,0.0175985929899968,2.55529086237553,2.22824537581795,61.65859188827,12.9960537853093,35.9716980777891,114.656956217034,12.734193506586,-6.8916377880559,0.00940333902905618,0.00331991542504944,0.00386305080929551,0.0170889505210699,0.00600503891354763,0.00618501724182683,0.00829315263170058,0.00829315263170058,0.0146395033382222,2.55399302853473,2.22845753640879,61.65859188827,12.9894530813942,35.9794551549853,114.656956217034,12.7279009296867,-6.88931998928159,0.00831272485294315,0.00290979161062889,0.00337140592190119,0.0152495853861687,0.00554616704353314,0.00562324203764221,0.00729696119273662,0.00729696119273662,0.0132094972336719
6.57237908171932e-05,2.56489955747202,2.22688678874288,63.7162736159293,13.8145495178984,33.9799706914603,118.387041924521,14.5369021065879,-7.17444738533744,0.0150879796785672,0.00752079019552928,0.00757270405041288,0.0299589297919313,0.0138218529632664,0.0137605707746017,0.0150907369622548,0.0150907369622548,0.0287706767648999,2.56482788604177,2.22698109323216,63.7162736159293,13.0445585071566,36.2195130147616,118.387041924521,12.8176998607216,-6.91486332046325,0.0145200675820052,0.00707679907676086,0.00719017813821578,0.0285726150900617,0.0128761194230744,0.0128347912449006,0.014393522398491,0.014393522398491,0.0271417628790183,2.56442895957453,2.22736874948468,63.7162736159293,13.0425295914269,36.2171888240007,118.387041924521,12.8162179188558,-6.91486114338183,0.0124733804601488,0.00552658608367675,0.00584501728094696,0.0239437662584111,0.00980381342123285,0.00982238163211608,0.0119224919123862,0.0119224919123862,0.0217849806558801,2.56368615979313,2.22785554205778,63.7162736159293,13.0387517569529,36.2108014183648,118.387041924521,12.8130941006508,-6.91452040813597,0.0103924607770117,0.0041067042235385,0.00456796601205044,0.0197326019227627,0.00720939985234817,0.0072989163540464,0.00953356550630027,0.00953356550630027,0.0171204590645786,2.56264029794726,2.22824537581795,63.7162736159293,13.0334325672666,36.2076970112641,118.387041924521,12.8082835428705,-6.91294552870952,0.00882659693809162,0.00323318910157953,0.00370856915366042,0.0168648007278865,0.00581453465198447,0.00590846740798183,0.00788417759666583,0.00788417759666583,0.0142939013939265,2.56146818397232,2.22845753640879,63.7162736159293,13.0274712669367,36.2157226050621,118.387041924521,12.8017568338779,-6.91046514610011,0.00779197301244589,0.00282927906235836,0.00323116046882898,0.0150182118137532,0.00535877322088328,0.00534175677558396,0.00692620627181663,0.00692620627181663,0.0128593709051101
6.78619547878376e-05,2.57070374222654,2.22688678874288,65.7891278882642,13.8835967843849,34.203221716447,122.142669036113,14.584555156572,-7.20479172846289,0.0143504683469133,0.00720411357963831,0.00718725489870497,0.0289546705147417,0.0132360327557859,0.013138278845539,0.0143709184126284,0.0143709184126284,0.0276644910580335,2.57066187578371,2.22698109323216,65.7891278882642,13.0742298238688,36.4391009253469,122.142669036113,12.8875293220882,-6.93610039822257,0.0138145851767338,0.00679754086374063,0.00683544948305026,0.0276649051266965,0.0123490859149129,0.012288720854655,0.0137237877617623,0.0137237877617623,0.0261513559481323,2.57041373735395,2.22736874948468,65.7891278882642,13.0729678069192,36.4408160983152,122.142669036113,12.8863640721145,-6.93594952557973,0.0118671799360513,0.00536028896251945,0.00558354806801239,0.0233329929967374,0.00944101936101075,0.0094904882767889,0.0114055084832916,0.0114055084832916,0.0211322503172683,2.56988085421932,2.22785554205778,65.7891278882642,13.070257595733,36.4395423876403,122.142669036113,12.8832081326912,-6.93570658459085,0.00987047551945237,0.00401273158902182,0.004382621551648,0.0193646759817584,0.00696098756374079,0.00709130412254827,0.0091329143300611,0.0091329143300611,0.0167084838340237,2.56906150570159,2.22824537581795,65.7891278882642,13.0660904390458,36.4423027665021,122.142669036113,12.8784438300962,-6.93462896117747,0.00836394171353003,0.00316179518514443,0.00356520240092388,0.0166181492424665,0.00560849681341024,0.00573718810130699,0.00754546964979921,0.00754546964979921,0.0139819170785918,2.56807272343115,2.22845753640879,65.7891278882642,13.0610615526055,36.4533176899874,122.142669036113,12.8719631421676,-6.93263962693561,0.00736995830221679,0.00276134224245144,0.00310648396985234,0.0148261092570195,0.00515393201366405,0.00514821772027248,0.00661889225726029,0.00661889225726029,0.0125641294954779
7.0014759631228e-05,2.57593015984002,2.22688678874288,67.8761758314292,13.9489585795627,34.424589712961,125.922076075806,14.628609103291,-7.23476984463572,0.013767397454603,0.0069296716312611,0.00683370946004357,0.0278693154610409,0.012672561457637,0.0127684945994038,0.0137653892729539,0.0137653892729539,0.0266551857590409,2.57590653981892,2.22698109323216,67.8761758314292,13.1009038659089,36.6599126204578,125.922076075806,12.9547689300572,-6.95802552687631,0.0132553413015024,0.00655510643923893,0.00650729189630884,0.0266670866133884,0.0118413360419133,0.0119716536246533,0.0131588698185251,0.0131588698185251,0.0252400381399775,2.57576025256014,2.22736874948468,67.8761758314292,13.100159857815,36.6652963108483,125.922076075806,12.9534894773493,-6.95767526797259,0.0113756190929295,0.00521753951478435,0.00533569387649314,0.0226127671639345,0.00908421215534081,0.00932021766527832,0.0109644262421035,0.0109644262421035,0.0205085984922768,2.57540301219607,2.22785554205778,67.8761758314292,13.0983429550688,36.6705206840102,125.922076075806,12.9502532989273,-6.95716183673043,0.00942274942254046,0.00393735529768902,0.00420242311045251,0.0188686426812352,0.00670700098104577,0.00700214513216033,0.008781263915341,0.008781263915341,0.0162888943972207,2.57479144217535,2.22824537581795,67.8761758314292,13.0952325471696,36.6791775509411,125.922076075806,12.9455947277777,-6.95685961254447,0.00794504607107097,0.00310664178255834,0.00342924579606016,0.0162459528885429,0.00539370691567188,0.00565081355385173,0.00724046682484468,0.00724046682484468,0.0136452366790333,2.57398881796864,2.22845753640879,67.8761758314292,13.0911504493101,36.6874516987816,125.922076075806,12.939566440437,-6.9563930940917,0.00697817056095297,0.00270541649962363,0.0029965037604295,0.0145383227205849,0.00493945933029731,0.00503362176073767,0.00634004541050307,0.00634004541050307,0.01225570190581
7.21811956320027e-05,2.58080929357803,2.22688678874288,69.9764385715991,14.0107792551753,34.6474801645991,129.723501567318,14.6693193243888,-7.2649904922545,0.013212093894193,0.00670397361070077,0.00650159737036179,0.0266328237775666,0.0121265918214252,0.01249473915049,0.0132088324376279,0.0132088324376279,0.0256270773747407,2.5807938864398,2.22698109323216,69.9764385715991,13.1257606133295,36.8901935009171,129.723501567318,13.0190935353206,-6.98036465021855,0.0127225956199897,0.0063557483987835,0.00619878388759457,0.025516061274867,0.0113482617073479,0.0117408816327091,0.0126385639531838,0.0126385639531838,0.024302602307462,2.5806913172396,2.22736874948468,69.9764385715991,13.1252389526206,36.8988608017901,129.723501567318,13.0175129697012,-6.98000398927285,0.010912182723905,0.00510271515598537,0.00510150990722579,0.0217287676304383,0.00874033492939908,0.00920570401296027,0.0105582038935581,0.0105582038935581,0.0198374032863988,2.58043890514615,2.22785554205778,69.9764385715991,13.1239552000776,36.9107857285161,129.723501567318,13.0140411376486,-6.97944567444624,0.00900206528202966,0.00388106240680994,0.00402892996820871,0.0181879812806336,0.00646111647038872,0.00695016110612126,0.00845602882852419,0.00845602882852419,0.0157996294285718,2.57998082238068,2.22824537581795,69.9764385715991,13.1216254190161,36.9183047454206,129.723501567318,13.0096495497287,-6.97994443490786,0.00754203913380502,0.00306790357472556,0.00329765604635469,0.015680270471811,0.00518031471979517,0.00559781052084534,0.00695379937744263,0.00695379937744263,0.0132291978562258,2.57934556118715,2.22845753640879,69.9764385715991,13.118394519254,36.9215622055318,129.723501567318,13.0042535990432,-6.98085927566778,0.00659411581276152,0.00266189537963885,0.00289380583303142,0.0140503246704902,0.00472429607428954,0.00495851395988371,0.00607490851271586,0.00607490851271586,0.0118665673523317
7.43602530747998e-05,2.58544820999892,2.22688678874288,72.0889372349337,14.0694525442162,34.8717733887844,133.545184034632,14.7065174540557,-7.29485189223916,0.0126311857840139,0.006526560222868,0.00620392694658895,0.0253441547990245,0.0115911764808999,0.0121855055822596,0.0126808364767354,0.0126808364767354,0.0245604184310921,2.58542666771533,2.22698109323216,72.0889372349337,13.149322656899,37.1276892088921,133.545184034632,13.0801992358523,-7.00349060547614,0.0121643796535117,0.00620004183119686,0.00592182452015897,0.0242949708005701,0.0108653508290192,0.0114717606677571,0.0121431230024338,0.0121431230024338,0.0233160411486731,2.58531312536801,2.22736874948468,72.0889372349337,13.1487451874319,37.1389596126598,133.545184034632,13.0784694976249,-7.00339181779636,0.0104330851782952,0.00501550540552507,0.00488945416421145,0.0207437669230632,0.00841057422389481,0.00905038609551449,0.0101690223740159,0.0101690223740159,0.0191023636212363,2.58509714762849,2.22785554205778,72.0889372349337,13.1476467377955,37.1500778705495,133.545184034632,13.0748995703532,-7.00343742464599,0.00858878019752085,0.00384177268203598,0.00386797313870873,0.0173777068411212,0.00622878537267652,0.00686576085676326,0.00814926300913282,0.00814926300913282,0.0152361265352805,2.58471930360115,2.22824537581795,72.0889372349337,13.1457250460717,37.1549348738518,133.545184034632,13.0705777323581,-7.0042585348273,0.00716272906446688,0.00304234563458537,0.00317229080253565,0.0149494254074697,0.00497748672964316,0.00552433122719236,0.00668868275079396,0.00668868275079396,0.0127256216821526,2.58419124030477,2.22845753640879,72.0889372349337,13.1430393482895,37.1583180432885,133.545184034632,13.0657321305372,-7.00550360111461,0.00623388934660951,0.00262962221720702,0.00279463097552184,0.0133728289240963,0.00451452910187887,0.00487244069659054,0.0058290712696692,0.0058290712696692,0.0113798993612829
